CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader mirabest_fits_png
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 1221
Total batches: 54 (at batch size 16)

============================================================
Run 1/1  |  seed=44  |  results -> results/robust_classification/run_20260515_182132_seed44
============================================================

Training robust_classification for 200 epochs
  Batch  12 | t=[0,4] | loss=0.6247 | acc=12/16 | MISCLASSIFIED: [1] pred=1 true=0 t=1, [10] pred=0 true=1 t=0, [11] pred=0 true=1 t=2, [13] pred=0 true=1 t=1
  Batch  13 | t=[0,4] | loss=0.7226 | acc=8/16 | MISCLASSIFIED: [3] pred=1 true=0 t=2, [5] pred=0 true=1 t=3, [6] pred=0 true=1 t=2, [7] pred=1 true=0 t=4, [8] pred=0 true=1 t=4, [11] pred=0 true=1 t=4, [12] pred=0 true=1 t=4, [13] pred=0 true=1 t=4
  Batch  14 | t=[0,4] | loss=0.7802 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=1, [5] pred=1 true=0 t=0, [6] pred=0 true=1 t=4, [7] pred=1 true=0 t=4, [8] pred=0 true=1 t=0, [14] pred=1 true=0 t=4
  Batch  15 | t=[0,4] | loss=0.5626 | acc=12/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=0 true=1 t=1, [12] pred=1 true=0 t=2, [15] pred=1 true=0 t=1
  Batch  16 | t=[0,4] | loss=0.5035 | acc=13/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [12] pred=0 true=1 t=4
  Batch  17 | t=[0,4] | loss=0.7529 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=2, [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=4, [8] pred=0 true=1 t=2, [11] pred=0 true=1 t=4, [12] pred=0 true=1 t=2, [13] pred=0 true=1 t=2
  Batch  18 | t=[0,4] | loss=0.6205 | acc=12/16 | MISCLASSIFIED: [6] pred=0 true=1 t=4, [10] pred=0 true=1 t=4, [11] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  19 | t=[0,4] | loss=0.7728 | acc=6/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=0 true=1 t=2, [4] pred=1 true=0 t=1, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=4, [9] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=3, [14] pred=0 true=1 t=2, [15] pred=0 true=1 t=0
  Batch  20 | t=[0,4] | loss=0.5378 | acc=14/16 | MISCLASSIFIED: [1] pred=0 true=1 t=3, [15] pred=1 true=0 t=0
  Batch  21 | t=[0,4] | loss=0.7895 | acc=6/16 | MISCLASSIFIED: [1] pred=0 true=1 t=3, [2] pred=0 true=1 t=3, [4] pred=0 true=1 t=3, [5] pred=0 true=1 t=4, [6] pred=0 true=1 t=3, [10] pred=1 true=0 t=3, [11] pred=0 true=1 t=3, [12] pred=0 true=1 t=2, [13] pred=0 true=1 t=3, [14] pred=1 true=0 t=2
  Batch  22 | t=[0,4] | loss=0.7251 | acc=9/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [1] pred=0 true=1 t=0, [3] pred=1 true=0 t=4, [8] pred=0 true=1 t=3, [9] pred=1 true=0 t=1, [10] pred=0 true=1 t=2, [15] pred=0 true=1 t=3
  Batch  23 | t=[0,4] | loss=0.6131 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [3] pred=1 true=0 t=2, [8] pred=0 true=1 t=1, [12] pred=0 true=1 t=1, [14] pred=1 true=0 t=3
  Batch  24 | t=[1,4] | loss=0.6341 | acc=9/16 | MISCLASSIFIED: [3] pred=0 true=1 t=1, [4] pred=0 true=1 t=4, [6] pred=0 true=1 t=4, [10] pred=0 true=1 t=3, [11] pred=0 true=1 t=2, [12] pred=0 true=1 t=3, [13] pred=0 true=1 t=3
  Batch  25 | t=[0,4] | loss=0.7410 | acc=8/16 | MISCLASSIFIED: [2] pred=1 true=0 t=4, [3] pred=1 true=0 t=4, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=3, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=2, [14] pred=1 true=0 t=4, [15] pred=1 true=0 t=2
  Batch  26 | t=[0,4] | loss=0.4913 | acc=13/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [15] pred=0 true=1 t=3
  Batch  27 | t=[0,4] | loss=0.7091 | acc=10/16 | MISCLASSIFIED: [4] pred=0 true=1 t=1, [7] pred=1 true=0 t=3, [8] pred=1 true=0 t=2, [10] pred=1 true=0 t=4, [11] pred=0 true=1 t=3, [15] pred=1 true=0 t=0
